Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,Command,Anomaly?,Anomaly Mode,Attribute,Desired Speed,Desired R,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,Active V Attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time
55422,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.72,316.11,0,,Force Sensor 3,0,0,16.75,60.0,-5.62,4.12,-1790.56,2.87,-14.93,-0.07,-16.97,76.37,33.19,-4.75,-0.77,0.06,0.62,0.12,26,-218136576,1148.5,1165390,,0
82119,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.35,301.06,0,,Force Sensor 3,0,0,18.87,71.25,-171.31,4.5,-1725.88,2.62,-10.59,-0.25,-3.92,77.5,32.5,-5.56,0.45,-0.11,-0.88,-0.08,26,-213614592,1049.3,1165622,83.33333333333333,26697
82131,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.07,296.14,0,,Force Sensor 3,0,0,20.25,54.38,-175.31,5.0,-1764.0,2.5,-5.08,-0.03,-0.97,77.5,32.5,-5.56,0.32,-0.12,-0.94,-0.06,26,-216825856,883.21,1165631,66.66666666666667,26709
82149,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.58,293.73,0,,Force Sensor 3,0,0,14.06,37.38,-176.62,4.31,-1771.81,3.5,-0.8,-0.24,-2.33,11.56,43.06,-69.5,0.17,-0.12,-0.98,-0.04,26,-213811200,673.76,1165641,55.555555555555564,26727
82166,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.45,288.81,0,,Force Sensor 3,0,0,14.5,19.94,-177.19,4.87,-1824.06,2.31,4.25,-0.13,-3.0,11.56,43.06,-69.5,0.02,-0.13,-0.99,-0.02,26,-218693632,511.06,1165655,71.42857142857143,26744
82181,0.0,22.57,0.0,0.0,0,M,M,M,300.0,15,27.71,288.71,0,0.0,Force Sensor 3,1,0,15.38,-15.69,-177.37,4.94,-1857.31,3.31,12.33,0.04,-6.77,11.56,43.06,-69.5,-0.14,-0.13,-0.98,-0.0,26,-221184000,374.27,1165668,58.82352941176471,26759
82195,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.72,286.59,0,,Force Sensor 3,0,0,15.81,-33.63,-177.0,5.19,-1871.44,2.94,16.85,-0.05,-13.3,11.56,43.06,-69.5,-0.29,-0.13,-0.95,0.02,26,-217677824,288.92,1165680,71.42857142857143,26773
82210,0.0,-13.11,0.0,0.0,0,,,,300.0,15,27.83,288.51,0,,Force Sensor 3,0,0,10.06,-51.69,-176.0,5.19,-1888.44,3.44,15.73,-0.34,-17.75,-71.69,49.56,-10.56,-0.44,-0.13,-0.89,0.04,26,-216137728,262.08,1165693,62.5,26788
82227,0.0,0.0,0.0,0.0,0,,,,300.0,15,28.11,286.29,0,,Force Sensor 3,0,0,11.69,-69.81,-172.75,5.5,-1903.94,3.06,13.78,-0.28,-28.7,-71.69,49.56,-10.56,-0.69,-0.11,-0.71,0.08,26,-212008960,319.63,1165709,62.5,26805
82243,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.87,293.63,0,,Force Sensor 3,0,0,13.44,-73.12,-8.75,5.37,-1921.38,3.87,10.31,-0.18,-31.84,-71.69,49.56,-10.56,-0.88,-0.08,-0.45,0.11,26,-215220224,447.56,1165721,76.92307692307692,26821
82255,0.0,0.0,0.0,0.0,0,M,M,M,300.0,15,27.5,304.08,0,0.0,Force Sensor 3,1,0,14.0,-54.81,-4.5,5.0,-1919.13,3.81,6.76,-0.43,-34.8,-71.69,49.56,-10.56,-0.88,-0.08,-0.45,0.11,26,-209256448,599.48,1165732,66.66666666666667,26833
82271,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.98,306.38,0,,Force Sensor 3,0,0,14.44,-36.44,-3.25,4.69,-1917.56,3.56,3.04,-0.26,-36.07,-20.69,40.06,74.19,-0.98,-0.04,-0.15,0.13,26,-209354752,782.78,1165745,52.631578947368425,26849
82288,0.0,17.11,0.0,0.0,0,M,M,M,300.0,15,26.26,303.46,0,0.0,Force Sensor 3,1,0,15.31,-0.06,-2.75,4.25,-1886.75,3.81,-8.35,-0.56,-31.83,-20.69,40.06,74.19,-0.98,-0.0,0.16,0.14,26,-214073344,940.17,1165760,71.42857142857143,26866
82301,0.0,17.11,0.0,0.0,0,M,M,M,300.0,15,27.0,313.39,0,0.0,Force Sensor 3,1,0,15.69,17.81,-2.87,4.37,-1872.31,2.94,-10.06,-0.44,-29.4,-20.69,40.06,74.19,-0.94,0.02,0.31,0.13,26,-213123072,1066.43,1165772,76.92307692307692,26879
82319,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.49,301.36,0,,Force Sensor 3,0,0,16.12,35.56,-3.44,5.0,-1853.94,3.31,-12.96,-0.51,-22.85,-20.69,40.06,74.19,-0.88,0.04,0.45,0.13,26,-210403328,1124.64,1165784,52.631578947368425,26897
82333,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.87,298.85,0,,Force Sensor 3,0,0,16.56,53.44,-4.69,3.94,-1863.5,3.37,-16.08,-0.46,-13.34,76.37,32.5,2.75,-0.8,0.06,0.58,0.12,26,-216072192,1121.55,1165797,76.92307692307692,26911
82348,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.22,301.16,0,,Force Sensor 3,0,0,15.31,-12.5,-177.37,5.31,-1788.69,2.87,14.68,-0.07,-8.87,14.19,42.69,-69.87,0.26,0.13,0.96,-0.01,26,-217743360,294.04,1165877,62.5,26926
82364,0.0,0.0,0.0,0.0,0,,,,300.0,15,27.1,308.06,0,,Force Sensor 3,0,0,9.38,-46.31,-176.37,4.25,-1757.13,2.75,15.44,-0.23,-14.59,-72.37,48.88,-10.69,0.39,0.13,0.91,-0.03,26,-215056384,223.56,1165888,66.66666666666667,26942
82382,0.0,0.0,0.0,0.0,0,,,,300.0,15,26.71,306.07,0,,Force Sensor 3,0,0,11.19,-63.06,-174.5,5.37,-1748.88,3.19,16.82,-0.23,-18.4,-72.37,48.88,-10.69,0.52,0.12,0.84,-0.05,26,-220364800,235.81,1165901,62.5,26960
