Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,N-mode attribute,Anomaly?,Anomaly Mode,Attribute,Desired Speed,D-mode attribute,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,V-mode attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time,Force Sensor 1,N-mode?,V-mode?,D-mode?,Binary Macro Health Mode,Multi-class Sublevel Mode,Multi-class Sublevel Mode Enc
135661,0.0,0,0,0,0,,,,150.0,15,16.37,164.3,0,,Force Sensor 3,0,0,16.25,-38.5,-177.12,3.19,-960.12,1.56,-1.82,0.06,-1.45,59.75,32.5,43.88,-0.41,-0.13,-0.9,0.04,26,-208535552,1125.99,3655575,,1,0,False,False,False,H,H,0
135681,0.0,0,0,0,0,,,,150.0,15,15.98,172.11,0,,Force Sensor 3,0,0,16.5,39.69,-3.31,1.62,-943.5,0.94,3.66,-0.18,-9.11,-64.0,48.5,-32.25,-0.93,0.03,0.34,0.14,26,-211189760,647.2,3655760,58.82352941176471,21,0,False,False,False,H,H,0
135698,0.0,0,0,0,0,,,,150.0,15,15.85,169.35,0,,Force Sensor 3,0,0,16.69,48.63,-3.87,3.44,-929.5,1.37,2.35,0.09,-8.35,-64.0,48.5,-32.25,-0.87,0.05,0.48,0.13,26,-211484672,600.41,3655772,62.5,38,0,False,False,False,H,H,0
135715,0.0,0,0,0,0,,,,150.0,15,15.85,172.17,0,,Force Sensor 3,0,0,16.94,57.63,-4.75,2.31,-929.69,2.0,0.91,-0.09,-9.84,-64.0,48.5,-32.25,-0.83,0.06,0.55,0.12,26,-215777280,526.81,3655785,66.66666666666667,55,0,False,False,False,H,H,0
135731,0.0,0,0,0,0,,,,150.0,15,15.81,169.35,0,,Force Sensor 3,0,0,17.19,66.62,-6.44,3.44,-932.06,1.44,-0.75,-0.1,-9.49,-64.0,48.5,-32.25,-0.78,0.07,0.61,0.12,26,-213614592,503.45,3655797,62.5,71,0,False,False,False,H,H,0
135743,0.0,0,0,0,0,,,,150.0,15,15.95,169.24,0,,Force Sensor 3,0,0,17.75,84.37,-2.5,1.94,-950.5,1.94,-2.38,-0.09,-10.16,-75.0,47.75,20.25,-0.73,0.07,0.67,0.11,26,-221052928,459.77,3655809,71.42857142857143,83,0,False,False,False,H,H,0
135760,0.0,0,0,0,0,,,,150.0,15,16.04,162.38,0,,Force Sensor 3,0,0,18.12,84.81,-177.44,2.75,-985.75,1.31,-1.31,-0.13,-9.79,-75.0,47.75,20.25,-0.67,0.08,0.73,0.11,26,-214204416,451.3,3655822,66.66666666666667,100,0,False,False,False,H,H,0
135772,0.0,0,0,0,0,,,,150.0,15,16.27,156.82,0,,Force Sensor 3,0,0,18.62,75.5,-169.81,3.19,-1006.75,1.69,-2.53,0.07,-10.1,-75.0,47.75,20.25,-0.54,0.1,0.83,0.09,26,-220889088,448.07,3655835,71.42857142857143,112,0,False,False,False,H,H,0
135788,0.0,0,0,0,0,,,,150.0,15,16.54,159.46,0,,Force Sensor 3,0,0,19.19,65.81,-173.87,3.0,-1037.38,1.69,-3.9,-0.1,-9.08,-75.0,47.75,20.25,-0.46,0.11,0.88,0.08,26,-217317376,473.61,3655849,62.5,128,0,False,False,False,H,H,0
135801,0.0,0,0,0,0,,,,150.0,15,16.41,149.28,0,,Force Sensor 3,0,0,21.06,45.56,-176.5,3.19,-1064.31,1.87,-3.19,-0.17,-8.46,-42.06,41.88,65.37,-0.38,0.12,0.91,0.07,26,-218005504,530.71,3655861,76.92307692307692,141,0,False,False,False,H,H,0
135817,0.0,0,0,0,0,,,,150.0,15,16.92,139.35,0,,Force Sensor 3,0,0,14.56,35.44,-177.0,2.44,-1050.44,2.25,-4.54,-0.11,-7.26,-42.06,41.88,65.37,-0.22,0.13,0.97,0.05,26,-211976192,597.65,3655874,62.5,157,0,False,False,False,H,H,0
135833,0.0,0,0,0,0,,,,150.0,15,16.92,139.3,0,,Force Sensor 3,0,0,14.81,25.5,-177.37,2.81,-1058.88,2.19,-3.37,-0.03,-6.06,-42.06,41.88,65.37,-0.13,0.13,0.98,0.04,26,-218857472,682.68,3655887,62.5,173,0,False,False,False,H,H,0
135849,0.0,0,0,0,0,,,,150.0,15,17.43,134.15,0,,Force Sensor 3,0,0,15.25,5.19,-177.69,2.56,-1045.0,1.75,-4.42,-0.11,-4.52,-42.06,41.88,65.37,-0.04,0.13,0.99,0.03,26,-205291520,774.0,3655901,62.5,189,0,False,False,False,H,H,0
135862,0.0,0,0,0,0,,,,150.0,15,17.69,136.91,0,,Force Sensor 3,0,0,15.44,-4.69,-177.69,2.81,-1027.88,1.81,-6.03,-0.48,-3.93,28.37,33.5,67.69,0.04,0.13,0.99,0.01,26,-218431488,881.25,3655913,76.92307692307692,202,0,False,False,False,H,H,0
135877,0.0,0,0,0,0,,,,150.0,15,17.45,144.37,0,,Force Sensor 3,0,0,15.69,-14.69,-177.62,2.12,-1042.0,2.25,-2.81,-0.08,-1.6,28.37,33.5,67.69,0.21,0.14,0.97,-0.01,26,-214368256,977.59,3655926,62.5,217,0,False,False,False,H,H,0
135894,0.0,0,0,0,0,,,,150.0,15,17.2,144.32,0,,Force Sensor 3,0,0,16.12,-34.06,-177.25,2.37,-988.0,1.87,-3.8,-0.36,-0.78,28.37,33.5,67.69,0.29,0.13,0.95,-0.02,26,-209813504,1069.2,3655939,62.5,234,0,False,False,False,H,H,0
135907,0.0,0,0,0,0,,,,150.0,15,17.2,154.34,0,,Force Sensor 3,0,0,16.37,-43.5,-176.87,2.19,-979.62,1.87,-0.46,-0.08,-1.01,28.37,33.5,67.69,0.44,0.13,0.89,-0.04,26,-214925312,1138.3,3655952,83.33333333333333,247,0,False,False,False,H,H,0
135924,0.0,0,0,0,0,,,,150.0,15,16.3,161.93,0,,Force Sensor 3,0,0,11.06,-52.69,-176.31,2.56,-954.06,1.37,-0.15,-0.27,-0.4,74.69,32.19,15.25,0.51,0.13,0.85,-0.05,26,-214925312,1211.11,3655965,52.631578947368425,264,0,False,False,False,H,H,0
135939,0.0,0,0,0,0,,,,150.0,15,16.31,174.41,0,,Force Sensor 3,0,0,13.56,-84.0,-2.25,1.62,-844.19,1.25,2.74,-0.16,0.83,65.87,35.38,-39.56,0.78,0.1,0.61,-0.09,26,-217186304,1302.49,3656013,76.92307692307692,279,0,False,False,False,H,H,0
135951,0.0,0,0,0,0,,,,150.0,15,15.67,172.05,0,,Force Sensor 3,0,0,13.88,-76.31,-9.63,2.37,-818.31,1.31,1.61,-0.09,-0.19,65.87,35.38,-39.56,0.82,0.09,0.55,-0.1,26,-206045184,1314.42,3656025,76.92307692307692,291,0,False,False,False,H,H,0
135967,0.0,0,0,0,0,,,,150.0,15,15.78,167.22,0,,Force Sensor 3,0,0,14.13,-68.25,-6.19,2.0,-871.81,1.37,4.66,0.04,-0.24,65.87,35.38,-39.56,0.86,0.09,0.49,-0.11,26,-214794240,1323.82,3656041,58.82352941176471,307,0,False,False,False,H,H,0
135983,0.0,0,0,0,0,,,,150.0,15,15.76,172.11,0,,Force Sensor 3,0,0,14.56,-51.56,-3.75,2.25,-862.56,1.37,4.15,-0.22,-0.93,65.87,35.38,-39.56,0.89,0.08,0.43,-0.11,26,-215646208,1297.88,3656050,58.82352941176471,323,0,False,False,False,H,H,0
136000,0.0,0,0,0,0,,,,150.0,15,15.74,171.88,0,,Force Sensor 3,0,0,14.75,-43.31,-3.19,2.25,-856.56,1.44,1.68,-0.06,-1.96,24.69,42.0,-67.87,0.92,0.07,0.36,-0.12,26,-215777280,1258.27,3656059,66.66666666666667,340,0,False,False,False,H,H,0
136017,0.0,0,0,0,0,,,,150.0,15,16.11,166.88,0,,Force Sensor 3,0,0,14.94,-34.56,-2.87,2.31,-903.81,1.5,4.64,-0.19,-3.36,24.69,42.0,-67.87,0.95,0.06,0.29,-0.12,26,-222953472,1198.76,3656070,71.42857142857143,357,0,False,False,False,H,H,0
136030,0.0,0,0,0,0,,,,150.0,15,15.98,174.58,0,,Force Sensor 3,0,0,15.13,-25.44,-2.62,2.62,-951.37,1.37,5.28,0.06,-3.97,24.69,42.0,-67.87,0.98,0.04,0.14,-0.13,26,-212860928,1111.29,3656086,62.5,370,0,False,False,False,H,H,0
136043,0.0,0,0,0,0,,,,150.0,15,15.58,162.04,0,,Force Sensor 3,0,0,15.31,-16.12,-2.5,3.31,-1008.44,1.44,2.66,-0.19,-6.29,24.69,42.0,-67.87,0.99,0.03,0.05,-0.14,26,-217612288,1018.81,3656096,83.33333333333333,383,0,False,False,False,H,H,0
136058,0.0,0,0,0,0,,,,150.0,15,16.2,154.4,0,,Force Sensor 3,0,0,15.56,-6.37,-2.44,3.31,-1008.44,1.44,4.89,-0.05,-8.21,-27.37,46.75,-62.5,0.99,0.02,-0.04,-0.14,26,-215384064,909.46,3656108,58.82352941176471,398,0,False,False,False,H,H,0
136075,0.0,0,0,0,0,,,,150.0,15,16.21,157.14,0,,Force Sensor 3,0,0,15.94,13.81,-2.56,3.0,-1050.56,1.62,4.55,-0.12,-8.26,-27.37,46.75,-62.5,0.98,0.01,-0.12,-0.14,26,-214630400,801.75,3656121,62.5,415,0,False,False,False,H,H,0
136088,0.0,0,0,0,0,,,,150.0,15,16.44,146.55,0,,Force Sensor 3,0,0,16.19,23.87,-2.75,2.81,-1050.44,2.31,3.01,0.11,-10.13,-27.37,46.75,-62.5,0.95,-0.02,-0.29,-0.14,26,-225214464,710.39,3656137,83.33333333333333,428,0,False,False,False,H,H,0
136103,0.0,0,0,0,0,,,,150.0,15,16.97,161.99,0,,Force Sensor 3,0,0,16.62,44.06,-3.56,2.94,-1041.25,1.31,3.68,-0.31,-10.24,-27.37,46.75,-62.5,0.92,-0.03,-0.37,-0.13,26,-218202112,609.42,3656147,55.55555555555557,443,0,False,False,False,H,H,0
136120,0.0,0,0,0,0,,,,150.0,15,16.19,157.09,0,,Force Sensor 3,0,0,16.87,54.0,-4.37,2.81,-1036.31,1.56,0.18,0.08,-10.43,-69.5,48.19,-20.25,0.88,-0.04,-0.45,-0.13,26,-219512832,539.62,3656160,66.66666666666667,460,0,False,False,False,H,H,0
136135,0.0,0,0,0,0,M,M,M,150.0,15,17.07,151.97,0,0.0,Force Sensor 3,1,0,17.12,64.12,-5.87,2.81,-1050.06,2.19,1.67,-0.23,-9.99,-69.5,48.19,-20.25,0.79,-0.06,-0.6,-0.12,26,-211976192,474.76,3656176,76.92307692307692,475,0,False,False,False,H,H,0
136149,0.0,0,0,0,0,,,,150.0,15,16.69,139.64,0,,Force Sensor 3,0,0,17.75,83.62,-2.56,2.69,-1022.44,1.75,-1.43,0.0,-10.36,-69.5,48.19,-20.25,0.73,-0.07,-0.67,-0.11,26,-218169344,458.51,3656188,62.5,489,0,False,False,False,H,H,0
136165,0.0,0,0,0,0,,,,150.0,15,17.31,141.84,0,,Force Sensor 3,0,0,18.12,85.19,-177.44,2.94,-1023.25,2.19,-1.04,-0.18,-9.68,-69.5,48.19,-20.25,0.67,-0.08,-0.73,-0.11,26,-211550208,437.66,3656200,62.5,505,0,False,False,False,H,H,0
136178,0.0,0,0,0,0,,,,150.0,15,17.2,154.55,0,,Force Sensor 3,0,0,18.62,75.75,-169.62,2.5,-1026.38,1.69,-0.98,-0.04,-10.12,-67.56,45.25,39.75,0.61,-0.09,-0.78,-0.1,26,-208633856,439.03,3656213,76.92307692307692,518,0,False,False,False,H,H,0
136193,0.0,0,0,0,0,,,,150.0,15,16.57,144.37,0,,Force Sensor 3,0,0,14.69,29.12,-177.25,2.62,-937.56,1.87,-4.13,-0.21,-5.57,-15.0,38.75,73.87,0.17,-0.13,-0.98,-0.04,26,-205193216,624.61,3656270,58.82352941176471,533,0,False,False,False,H,H,0
136210,0.0,0,0,0,0,,,,150.0,15,16.7,157.09,0,,Force Sensor 3,0,0,15.13,10.69,-177.62,2.62,-955.12,1.25,-4.08,-0.14,-3.96,-15.0,38.75,73.87,0.09,-0.13,-0.99,-0.03,26,-224821248,714.85,3656281,66.66666666666667,550,0,False,False,False,H,H,0
136225,0.0,0,0,0,0,,,,150.0,15,16.44,154.5,0,,Force Sensor 3,0,0,15.31,1.75,-177.69,2.19,-928.44,2.06,-5.31,-0.18,-3.02,-15.0,38.75,73.87,-0.06,-0.14,-0.99,-0.01,26,-208044032,808.62,3656293,62.5,565,0,False,False,False,H,H,0
136242,0.0,0,0,0,0,,,,150.0,15,16.57,159.46,0,,Force Sensor 3,0,0,15.5,-7.12,-177.69,2.19,-924.12,1.56,-3.78,-0.32,-3.2,-15.0,38.75,73.87,-0.14,-0.14,-0.98,-0.0,26,-215515136,902.67,3656304,58.82352941176471,582,0,False,False,False,H,H,0
136258,0.0,0,0,0,0,,,,150.0,15,16.31,159.46,0,,Force Sensor 3,0,0,15.69,-16.0,-177.62,2.5,-924.81,1.62,-1.94,0.1,-2.06,48.06,32.88,55.56,-0.21,-0.14,-0.97,0.01,26,-218628096,972.93,3656318,62.5,598,0,False,False,False,H,H,0
136273,0.0,0,0,0,0,,,,150.0,15,16.31,174.47,0,,Force Sensor 3,0,0,16.12,-32.94,-177.31,2.31,-858.69,0.88,-3.72,-0.31,-0.02,48.06,32.88,55.56,-0.28,-0.13,-0.95,0.02,26,-218071040,1050.44,3656330,66.66666666666667,613,0,False,False,False,H,H,0
136288,0.0,0,0,0,0,M,M,M,150.0,15,15.53,166.94,0,0.0,Force Sensor 3,1,0,16.31,-41.31,-177.0,2.37,-870.56,1.94,-3.6,-0.1,-0.45,48.06,32.88,55.56,-0.35,-0.13,-0.93,0.03,26,-211845120,1116.67,3656343,66.66666666666667,628,0,False,False,False,H,H,0
136304,0.0,0,0,0,0,,,,150.0,15,15.9,174.35,0,,Force Sensor 3,0,0,10.75,-50.06,-176.5,2.25,-908.37,1.37,-0.56,-0.3,0.02,48.06,32.88,55.56,-0.49,-0.13,-0.86,0.05,26,-215121920,1182.69,3656356,66.66666666666667,644,0,False,False,False,H,H,0
136321,0.0,0,0,0,0,,,,150.0,15,15.52,174.76,0,,Force Sensor 3,0,0,11.63,-58.94,-175.69,2.12,-919.94,1.37,-3.43,-0.21,0.81,76.56,32.88,5.25,-0.55,-0.12,-0.82,0.06,26,-211419136,1241.39,3656370,62.5,661,0,False,False,False,H,H,0
136333,0.0,0,0,0,0,,,,150.0,15,15.48,164.24,0,,Force Sensor 3,0,0,12.75,-76.75,-170.19,1.81,-954.37,1.75,-0.31,-0.27,-1.35,76.56,32.88,5.25,-0.68,-0.11,-0.72,0.08,26,-217481216,1285.61,3656382,90.9090909090909,673,0,False,False,False,H,H,0
136349,0.0,0,0,0,0,,,,150.0,15,16.49,159.57,0,,Force Sensor 3,0,0,13.25,-85.75,-177.75,3.25,-976.94,1.31,2.53,-0.06,1.11,76.56,32.88,5.25,-0.74,-0.11,-0.66,0.09,26,-211222528,1314.24,3656395,52.631578947368425,689,0,False,False,False,H,H,0
136365,0.0,0,0,0,0,,,,150.0,15,16.23,151.97,0,,Force Sensor 3,0,0,13.56,-83.94,-2.25,2.0,-951.62,1.87,2.27,-0.12,-0.14,61.19,37.56,-46.69,-0.79,-0.1,-0.6,0.1,26,-215187456,1311.39,3656408,62.5,705,0,False,False,False,H,H,0
136381,0.0,0,0,0,0,,,,150.0,15,16.86,151.76,0,,Force Sensor 3,0,0,14.19,-65.81,-5.56,3.12,-974.87,0.81,3.8,-0.12,-1.2,61.19,37.56,-46.69,-0.88,-0.08,-0.46,0.11,26,-216825856,1313.54,3656423,66.66666666666667,721,0,False,False,False,H,H,0
136397,0.0,0,0,0,0,,,,150.0,15,16.62,147.0,0,,Force Sensor 3,0,0,14.44,-56.06,-4.12,2.75,-1009.62,2.12,1.52,-0.1,-3.29,61.19,37.56,-46.69,-0.91,-0.07,-0.39,0.12,26,-215908352,1269.6,3656435,71.42857142857143,737,0,False,False,False,H,H,0
136411,0.0,0,0,0,0,,,,150.0,15,16.86,144.42,0,,Force Sensor 3,0,0,14.69,-46.44,-3.37,3.25,-1045.13,0.75,3.22,-0.23,-4.41,61.19,37.56,-46.69,-0.94,-0.06,-0.31,0.12,26,-216104960,1208.66,3656447,62.5,751,0,False,False,False,H,H,0
136427,0.0,0,0,0,0,,,,150.0,15,16.74,139.3,0,,Force Sensor 3,0,0,14.94,-36.38,-2.94,2.87,-1077.75,2.62,5.49,-0.07,-5.06,12.0,44.19,-70.56,-0.97,-0.05,-0.22,0.13,26,-217776128,1131.42,3656460,66.66666666666667,767,0,False,False,False,H,H,0
136440,0.0,0,0,0,0,,,,150.0,15,17.25,149.44,0,,Force Sensor 3,0,0,15.38,-15.81,-2.5,2.56,-1052.5,1.31,4.37,-0.12,-6.13,12.0,44.19,-70.56,-0.98,-0.04,-0.13,0.13,26,-203522048,1030.18,3656473,66.66666666666667,780,0,False,False,False,H,H,0
136455,0.0,0,0,0,0,,,,150.0,15,16.74,161.93,0,,Force Sensor 3,0,0,16.37,33.25,-3.0,2.37,-968.37,2.94,3.64,-0.22,-7.84,-47.56,47.5,-50.06,-0.95,0.02,0.29,0.14,26,-220430336,748.82,3656520,66.66666666666667,795,0,False,False,False,H,H,0
136471,0.0,0,0,0,0,,,,150.0,15,16.11,159.4,0,,Force Sensor 3,0,0,16.56,42.25,-3.44,2.0,-937.62,0.56,4.75,-0.34,-9.06,-47.56,47.5,-50.06,-0.89,0.04,0.43,0.13,26,-216891392,633.96,3656532,62.5,811,0,False,False,False,H,H,0
136488,0.0,0,0,0,0,,,,150.0,15,15.85,174.7,0,,Force Sensor 3,0,0,16.75,51.0,-4.06,2.81,-903.06,1.62,0.17,0.17,-8.58,-47.56,47.5,-50.06,-0.86,0.05,0.5,0.13,26,-209584128,599.23,3656547,62.5,828,0,False,False,False,H,H,0
136501,0.0,0,0,0,0,,,,150.0,15,15.45,172.11,0,,Force Sensor 3,0,0,17.0,59.81,-5.06,1.69,-926.31,1.12,1.69,-0.21,-9.79,-76.37,49.69,2.5,-0.82,0.06,0.56,0.12,26,-212729856,521.53,3656556,83.33333333333333,841,0,False,False,False,H,H,0
136516,0.0,0,0,0,0,,,,150.0,15,15.57,166.82,0,,Force Sensor 3,0,0,17.25,68.69,-7.06,3.37,-912.87,1.75,0.06,0.05,-8.8,-76.37,49.69,2.5,-0.77,0.07,0.62,0.12,26,-220626944,506.75,3656566,62.5,856,0,False,False,False,H,H,0
136533,0.0,0,0,0,0,,,,150.0,15,15.82,171.94,0,,Force Sensor 3,0,0,17.5,77.44,-11.81,1.94,-897.19,1.56,-0.62,-0.2,-9.22,-76.37,49.69,2.5,-0.72,0.08,0.68,0.11,26,-214728704,484.34,3656578,55.55555555555557,873,0,False,False,False,H,H,0
136550,0.0,0,0,0,0,,,,150.0,15,16.04,159.19,0,,Force Sensor 3,0,0,18.19,84.44,-177.44,2.37,-885.12,1.12,-0.6,-0.24,-8.62,-76.37,49.69,2.5,-0.61,0.09,0.78,0.1,26,-212140032,459.89,3656595,90.9090909090909,890,0,False,False,False,H,H,0
136562,0.0,0,0,0,0,,,,150.0,15,16.18,166.99,0,,Force Sensor 3,0,0,18.56,76.31,-169.25,2.81,-879.06,1.56,-1.95,-0.09,-8.21,-76.37,49.69,2.5,-0.55,0.1,0.82,0.09,26,-217186304,449.23,3656604,55.55555555555557,902,0,False,False,False,H,H,0
136578,0.0,0,0,0,0,,,,150.0,15,15.79,159.57,0,,Force Sensor 3,0,0,19.06,68.0,-173.25,2.0,-867.44,1.62,-4.48,-0.24,-8.25,-58.5,44.19,53.0,-0.49,0.11,0.86,0.09,26,-213811200,464.93,3656616,58.82352941176471,918,0,False,False,False,H,H,0
