Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,N-mode attribute,Anomaly?,Anomaly Mode,Attribute,Desired Speed,D-mode attribute,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,V-mode attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time,N-mode?,V-mode?,D-mode?,Binary Macro Health Mode,Multi-class Sublevel Mode,Multi-class Sublevel Mode Enc
113758,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,24.03,252.07,0,,Force Sensor 3,0,0,0.19,-29.81,-1.62,4.5,-1436.31,3.0,-1.91,-0.27,-27.34,-44.88,43.69,62.75,0.97,0.01,0.26,-0.0,27,-216203264,-364.17,320600,,2,False,False,False,H,H,0
113766,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.65,244.51,0,,Force Sensor 3,0,0,0.25,-24.0,-1.56,4.19,-1457.5,4.06,-4.12,-0.22,-26.63,-39.75,44.19,66.25,-0.98,-0.01,-0.21,0.0,27,-212008960,-343.13,320853,71.42857142857143,10,False,False,False,H,H,0
113783,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,24.03,251.82,0,,Force Sensor 3,0,0,0.44,-9.94,-1.5,4.12,-1458.81,2.81,-4.2,-0.05,-27.0,-39.75,44.19,66.25,-1.0,-0.01,-0.09,0.0,27,-222363648,-196.12,320862,62.5,27,False,False,False,H,H,0
113794,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.66,249.64,0,,Force Sensor 3,0,0,0.56,4.0,-1.56,3.56,-1450.44,2.56,-9.62,-0.49,-25.86,53.0,34.0,49.56,-1.0,-0.01,0.04,0.01,27,-213876736,-45.25,320871,76.92307692307692,38,False,False,False,H,H,0
113810,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.66,259.55,0,,Force Sensor 3,0,0,0.75,18.0,-1.62,4.37,-1457.88,3.62,-11.45,-0.16,-21.63,53.0,34.0,49.56,-0.99,-0.01,0.16,0.01,27,-213778432,75.02,320884,58.82352941176471,54,False,False,False,H,H,0
113827,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.27,256.16,0,,Force Sensor 3,0,0,0.94,32.25,-1.87,3.62,-1477.88,2.44,-18.63,-0.19,-15.38,53.0,34.0,49.56,-0.92,-0.01,0.4,0.01,27,-215056384,170.01,320897,83.33333333333333,71,False,False,False,H,H,0
113838,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.44,266.38,0,,Force Sensor 3,0,0,1.12,46.63,-2.31,4.56,-1516.56,2.62,-14.29,-0.41,-11.54,53.0,34.0,49.56,-0.86,-0.01,0.51,0.01,27,-214007808,214.6,320908,58.82352941176471,82,False,False,False,H,H,0
113859,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.15,261.71,0,,Force Sensor 3,0,0,1.31,61.25,-3.37,3.37,-1539.63,2.94,-15.22,-0.02,-6.78,70.06,36.88,-35.25,-0.79,-0.01,0.62,0.01,27,-215220224,207.35,320920,62.5,103,False,False,False,H,H,0
113872,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.14,254.34,0,,Force Sensor 3,0,0,1.87,88.19,-178.37,4.31,-1521.94,2.81,-13.85,-0.18,-3.02,70.06,36.88,-35.25,-0.7,-0.01,0.71,0.01,27,-219217920,138.81,320934,62.5,116,False,False,False,H,H,0
113888,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,23.51,246.78,0,,Force Sensor 3,0,0,2.25,74.5,-174.12,3.75,-1518.19,2.44,-10.22,0.01,-0.27,70.06,36.88,-35.25,-0.5,-0.0,0.87,0.01,27,-217677824,34.28,320946,83.33333333333333,132,False,False,False,H,H,0
113901,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,24.02,241.75,0,,Force Sensor 3,0,0,2.81,59.88,-176.94,4.44,-1527.06,3.19,-1.73,-0.43,3.21,70.06,36.88,-35.25,-0.38,-0.0,0.92,0.01,27,-210173952,-118.55,320959,62.5,145,False,False,False,H,H,0
113916,0.0,0.0,0.0,0.0,0.0,,,,250.0,15,24.15,239.39,0,,Force Sensor 3,0,0,359.56,44.94,-177.87,4.5,-1553.25,2.75,-0.41,-0.02,2.97,-6.37,45.56,-66.75,-0.26,-0.0,0.97,0.01,27,-219906048,-288.42,320972,58.82352941176471,160,False,False,False,H,H,0
