Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,N-mode attribute,Anomaly?,Anomaly Mode,Attribute,Desired Speed,D-mode attribute,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,V-mode attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time,N-mode?,V-mode?,D-mode?,Binary Macro Health Mode,Multi-class Sublevel Mode,Multi-class Sublevel Mode Enc
58338,0.0,-1.46,-0.01,0.0,-0.01,,,,250.0,15,25.91,259.37,0,,Force Sensor 3,0,0,0.0,21.5,-2.75,3.94,-1393.06,2.06,-9.82,-0.31,-10.74,72.87,37.75,-26.06,0.95,0.02,-0.3,-0.0,27,-214532096,493.22,935405,,0,False,False,False,H,H,0
58350,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,25.76,256.77,0,,Force Sensor 3,0,0,359.0,-27.81,-2.69,3.31,-1473.81,3.0,-6.21,-0.26,-19.21,47.25,35.56,51.0,-0.99,-0.02,-0.12,-0.01,27,-210763776,413.06,935615,66.66666666666667,12,False,False,False,H,H,0
58366,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,25.88,251.65,0,,Force Sensor 3,0,0,359.56,0.31,-2.5,4.12,-1456.13,2.31,-9.73,-0.28,-17.59,47.25,35.56,51.0,-1.0,-0.02,0.0,-0.0,27,-214794240,480.98,935628,83.33333333333333,28,False,False,False,H,H,0
58379,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,26.14,246.95,0,,Force Sensor 3,0,0,359.81,14.19,-2.56,3.44,-1444.44,2.25,-9.06,-0.35,-15.53,47.25,35.56,51.0,-0.99,-0.02,0.12,-0.0,27,-214532096,513.7,935638,52.631578947368425,41,False,False,False,H,H,0
58396,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,26.77,236.87,0,,Force Sensor 3,0,0,0.13,27.81,-2.87,4.25,-1413.06,2.31,-10.55,-0.18,-11.81,69.06,36.69,-33.38,-0.97,-0.02,0.24,0.0,27,-209977344,484.75,935651,71.42857142857143,58,False,False,False,H,H,0
58412,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,26.89,236.95,0,,Force Sensor 3,0,0,0.44,41.38,-3.44,3.69,-1413.5,1.81,-11.62,-0.45,-7.2,69.06,36.69,-33.38,-0.89,-0.02,0.46,0.01,27,-220069888,424.54,935664,62.5,74,False,False,False,H,H,0
58427,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,26.89,231.99,0,,Force Sensor 3,0,0,0.75,54.88,-4.5,4.19,-1419.44,2.0,-6.75,-0.39,-5.01,69.06,36.69,-33.38,-0.83,-0.02,0.56,0.01,27,-223969280,314.7,935677,66.66666666666667,89,False,False,False,H,H,0
58441,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,27.29,231.91,0,,Force Sensor 3,0,0,1.62,82.06,-19.19,3.87,-1441.94,2.37,-10.26,-0.49,-4.03,69.06,36.69,-33.38,-0.75,-0.02,0.66,0.01,27,-226623488,186.65,935690,66.66666666666667,103,False,False,False,H,H,0
58456,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,27.17,234.59,0,,Force Sensor 3,0,0,2.19,82.81,-158.94,4.5,-1467.06,2.5,-7.2,0.14,-2.8,-0.56,46.88,-68.37,-0.66,-0.02,0.75,0.01,27,-211124224,3.31,935703,71.42857142857143,118,False,False,False,H,H,0
58472,0.0,0.0,-0.01,0.0,-0.01,,,,250.0,15,27.05,242.07,0,,Force Sensor 3,0,0,2.94,68.44,-173.06,4.25,-1546.63,2.62,0.11,0.08,-3.48,-0.56,46.88,-68.37,-0.45,-0.02,0.89,0.02,27,-214958080,-165.48,935716,62.5,134,False,False,False,H,H,0
