Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,N-mode attribute,Anomaly?,Anomaly Mode,Attribute,Desired Speed,D-mode attribute,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,V-mode attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time,N-mode?,V-mode?,D-mode?,Binary Macro Health Mode,Multi-class Sublevel Mode,Multi-class Sublevel Mode Enc
8220,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.93,388.34,0,0.01,Force Sensor 3,1,0,44.69,50.81,1.56,5.87,2029.75,4.19,-9.41,0.16,-25.2,76.69,50.19,-9.0,-0.76,0.23,0.53,0.31,26,-214532096,74.94,6191469,,0,False,False,True,A,D,3
8232,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.8,386.09,0,0.01,Force Sensor 3,1,0,44.38,70.56,3.06,6.25,2029.75,4.06,-9.41,0.16,-25.2,76.69,50.19,-9.0,-0.65,0.28,0.65,0.26,26,-213417984,-8.32,6191484,71.42857142857143,12,False,False,True,A,D,3
8246,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.91,386.09,0,0.01,Force Sensor 3,1,0,43.38,69.69,176.81,6.62,2029.75,3.94,-2.96,0.34,-19.53,76.69,50.19,-9.0,-0.39,0.35,0.84,0.15,26,-218562560,-245.17,6191496,62.5,26,False,False,True,A,D,3
8262,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,38.01,389.0,0,0.01,Force Sensor 3,1,0,42.44,49.94,178.19,7.06,2029.75,3.37,-3.12,0.42,-19.84,76.69,50.19,-9.0,-0.24,0.37,0.89,0.09,26,-220299264,-527.48,6191508,62.5,42,False,False,True,A,D,3
8276,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.79,393.75,0,0.01,Force Sensor 3,1,0,45.25,30.12,178.56,7.0,2029.75,4.12,4.8,0.11,-22.32,76.69,50.19,-9.0,-0.09,0.38,0.92,0.02,26,-221184000,-784.46,6191517,76.92307692307692,56,False,False,True,A,D,3
8292,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.56,398.49,0,0.01,Force Sensor 3,1,0,45.0,10.31,178.62,7.5,2029.75,3.94,14.21,0.13,-26.98,-30.87,62.5,-57.56,0.07,0.38,0.92,-0.04,26,-217808896,-923.52,6191530,58.82352941176471,72,False,False,True,A,D,3
8309,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.29,403.51,0,0.01,Force Sensor 3,1,0,44.81,-9.38,178.56,7.94,2029.75,4.87,13.81,0.36,-30.49,-30.87,62.5,-57.56,0.23,0.37,0.89,-0.11,26,-220463104,-935.2,6191544,66.66666666666667,89,False,False,True,A,D,3
8321,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.07,405.74,0,0.01,Force Sensor 3,1,0,48.31,-49.0,177.75,7.06,2029.75,5.5,10.49,0.34,-32.61,-30.87,62.5,-57.56,0.38,0.34,0.84,-0.17,26,-211419136,-821.31,6191556,76.92307692307692,101,False,False,True,A,D,3
8336,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,36.95,408.38,0,0.01,Force Sensor 3,1,0,47.31,-68.75,175.87,6.81,2029.75,4.56,11.14,0.46,-35.51,-30.87,62.5,-57.56,0.52,0.31,0.76,-0.23,26,-206503936,-559.84,6191569,66.66666666666667,116,False,False,True,A,D,3
8353,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,36.82,410.89,0,0.01,Force Sensor 3,1,0,46.75,-88.0,178.5,7.25,2029.75,4.62,8.16,0.14,-38.7,-47.0,58.19,67.56,0.75,0.22,0.54,-0.32,26,-212828160,-295.98,6191582,58.82352941176471,133,False,False,True,A,D,3
8367,0.0,0.1,0.01,0.0,0.01,M,M,M,400.0,6,37.17,405.88,0,0.01,Force Sensor 3,1,0,46.0,-51.69,2.06,5.5,2029.75,4.5,-0.16,0.53,-38.87,-47.0,58.19,67.56,0.83,0.16,0.41,-0.35,26,-208338944,-75.47,6191595,66.66666666666667,147,False,False,True,A,D,3
