Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,N-mode attribute,Anomaly?,Anomaly Mode,Attribute,Desired Speed,D-mode attribute,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,V-mode attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time,N-mode?,V-mode?,D-mode?,Binary Macro Health Mode,Multi-class Sublevel Mode,Multi-class Sublevel Mode Enc
20268,0,-0.73,0.0,0,0.0,,,,200,15,22.93,209.58,0,,Force Sensor 3,0,0,359.06,-77.94,-175.12,3.0,-1296.56,1.94,-0.01,-0.31,-7.41,43.19,33.69,55.56,-0.71,-0.01,-0.7,0.0,29,-221315072,134.45,191819,,1,False,False,False,H,H,0
20285,0,0.0,0.0,0,0.0,,,,200,15,22.94,209.36,0,,Force Sensor 3,0,0,1.5,87.81,-178.62,3.81,-1215.81,2.44,-1.01,0.08,-10.97,-73.87,48.38,15.19,-0.62,-0.01,0.78,0.01,29,-217710592,-656.58,191972,71.42857143,18,False,False,False,H,H,0
20298,0,0.0,0.0,0,0.0,,,,200,15,23.18,206.91,0,,Force Sensor 3,0,0,1.75,76.62,-174.31,3.06,-1203.69,2.37,-0.61,-0.06,-10.72,-73.87,48.38,15.19,-0.54,-0.01,0.84,0.01,29,-220692480,-720.87,191982,71.42857143,31,False,False,False,H,H,0
20312,0,0.0,0.0,0,0.0,,,,200,15,23.3,206.84,0,,Force Sensor 3,0,0,2.06,65.06,-176.94,3.81,-1197.88,2.56,-0.26,-0.12,-9.54,-73.87,48.38,15.19,-0.45,0.0,0.89,0.01,29,-214892544,-720.74,191993,58.82352941,45,False,False,False,H,H,0
20328,0,0.0,0.0,0,0.0,,,,200,15,22.9,204.67,0,,Force Sensor 3,0,0,2.5,53.56,-177.87,3.25,-1233.5,2.75,-4.76,0.14,-10.09,-73.87,48.38,15.19,-0.36,0.0,0.93,0.01,29,-213614592,-704.6,192009,66.66666667,61,False,False,False,H,H,0
20346,0,0.0,0.0,0,0.0,,,,200,15,23.4,204.74,0,,Force Sensor 3,0,0,359.69,29.44,-178.62,3.94,-1273.63,2.06,0.21,-0.23,-9.75,-73.87,48.38,15.19,-0.25,0.0,0.97,0.01,29,-216727552,-647.18,192018,62.5,79,False,False,False,H,H,0
20362,0,0.0,0.0,0,0.0,,,,200,15,23.39,202.07,0,,Force Sensor 3,0,0,359.87,17.06,-178.81,3.56,-1281.75,2.81,-4.93,-0.07,-8.89,-30.69,39.88,67.87,-0.15,0.0,0.99,0.01,29,-220561408,-553.26,192027,71.42857143,95,False,False,False,H,H,0
20375,0,0.0,0.0,0,0.0,,,,200,15,23.53,199.41,0,,Force Sensor 3,0,0,0.0,4.31,-178.87,3.31,-1321.0,2.87,-2.84,-0.38,-9.36,-30.69,39.88,67.87,-0.04,0.0,1.0,0.01,29,-216891392,-438.47,192039,62.5,108,False,False,False,H,H,0
20388,0,0.0,0.0,0,0.0,,,,200,15,23.66,204.25,0,,Force Sensor 3,0,0,0.13,-8.44,-178.94,3.94,-1329.63,2.12,-2.71,0.07,-8.2,-30.69,39.88,67.87,0.19,0.0,0.98,0.01,29,-207257600,-288.23,192054,83.33333333,121,False,False,False,H,H,0
20402,0,0.0,0.0,0,0.0,,,,200,15,23.41,199.48,0,,Force Sensor 3,0,0,0.31,-21.37,-178.87,3.31,-1339.5,2.62,-0.77,0.02,-6.68,-30.69,39.88,67.87,0.29,0.0,0.96,0.01,29,-222199808,-155.74,192065,62.5,135,False,False,False,H,H,0
