Time, Force Sensor 1,Force Sensor 2,Force Sensor 3,Force Sensor 4,Command,Anomaly?,Anomaly Mode,Attribute,Desired Speed,Desired R,Shaft Control Effort,Actual Speed,ToolHeadNo,Merged Attribute,Force Sensor Number,Anomaly Mode Encode,Active V Attribute,Orient. x,Orient. y,Orient. z,AngVel x,AngVel y,AngVel z,LinAcc. x,LinAcc. y,LinAcc. z,Mag. x ,Mag. y,Mag. z, Quat. w, Quat. x, Quat. y, Quat. z,Temp,Audio,Strain Gage,MCU Time,Sample Freq,Rel Time
7931,0.0,-11.65,0.0,0.0,0,,,,100.0,15,15.63,91.81,0,,Force Sensor 3,0,0,0.75,25.37,-1.62,1.94,-653.31,1.0,-0.43,-0.05,-20.55,-43.69,39.56,61.06,0.96,0.01,-0.28,-0.01,26,-211189760,-1398.08,4582687,,0
7950,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.64,84.16,0,,Force Sensor 3,0,0,359.81,26.19,-178.56,1.31,-568.94,0.62,-15.86,-0.06,9.77,75.19,33.56,-2.87,0.23,0.0,-0.97,-0.01,26,-212271104,-745.83,4582904,71.42857142857143,19
7962,0.0,-0.01,0.0,0.0,0,,,,100.0,15,16.03,84.27,0,,Force Sensor 3,0,0,359.87,20.5,-178.62,1.81,-591.44,2.44,-12.54,-0.03,10.11,66.75,35.69,-33.88,0.18,0.0,-0.98,-0.01,26,-208371712,-743.22,4582914,66.66666666666667,31
7978,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.92,89.41,0,,Force Sensor 3,0,0,359.94,14.63,-178.69,0.94,-606.87,-0.13,-9.14,-0.24,11.02,66.75,35.69,-33.88,0.08,-0.0,-1.0,-0.01,26,-218791936,-725.9,4582925,62.5,47
7995,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.79,102.01,0,,Force Sensor 3,0,0,0.06,8.88,-178.75,2.19,-591.0,1.12,-8.62,-0.14,13.04,66.75,35.69,-33.88,0.03,-0.0,-1.0,-0.01,26,-216530944,-731.63,4582940,83.33333333333333,64
8006,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.16,96.58,0,,Force Sensor 3,0,0,0.19,-2.0,-178.75,1.25,-565.62,0.0,-7.41,0.0,14.86,66.75,35.69,-33.88,-0.02,-0.0,-1.0,-0.01,26,-217612288,-721.94,4582950,58.82352941176471,75
8022,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.43,94.39,0,,Force Sensor 3,0,0,0.25,-7.69,-178.75,2.25,-586.75,1.69,-8.34,0.14,15.16,43.75,38.69,-56.69,-0.07,-0.0,-1.0,-0.01,26,-213319680,-730.15,4582962,62.5,91
8039,0.0,-0.0,0.0,0.0,0,,,,100.0,15,15.68,96.91,0,,Force Sensor 3,0,0,0.31,-13.75,-178.75,0.69,-629.56,1.12,-2.76,0.04,14.91,43.75,38.69,-56.69,-0.12,-0.0,-0.99,-0.01,26,-220430336,-738.55,4582975,83.33333333333333,108
8052,0.0,-4.44,0.0,0.0,0,,,,100.0,15,15.42,104.56,0,,Force Sensor 3,0,0,0.37,-20.12,-178.75,2.19,-653.37,0.31,-1.89,0.02,14.71,43.75,38.69,-56.69,-0.23,-0.0,-0.97,-0.01,26,-217972736,-746.76,4582991,58.82352941176471,121
8069,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.04,104.06,0,,Force Sensor 3,0,0,0.56,-33.19,-178.62,0.88,-691.56,0.88,4.01,0.14,15.46,43.75,38.69,-56.69,-0.29,-0.0,-0.96,-0.01,26,-217743360,-775.89,4583001,62.5,138
8085,0.0,-0.0,0.0,0.0,0,,,,100.0,15,14.55,111.67,0,,Force Sensor 3,0,0,0.62,-39.94,-178.5,2.87,-695.5,0.5,4.35,0.03,14.7,10.25,42.69,-67.5,-0.34,-0.01,-0.94,-0.01,26,-218529792,-801.94,4583014,71.42857142857143,154
8096,0.0,0.0,0.0,0.0,0,,,,100.0,15,14.67,114.29,0,,Force Sensor 3,0,0,357.62,-46.56,-178.31,1.31,-685.31,2.25,6.89,0.13,13.6,10.25,42.69,-67.5,-0.45,-0.01,-0.89,-0.01,26,-218103808,-852.41,4583027,66.66666666666667,165
8113,0.0,-0.0,0.0,0.0,0,,,,100.0,15,14.53,106.56,0,,Force Sensor 3,0,0,358.06,-53.0,-178.12,1.87,-641.87,1.31,9.63,0.06,12.4,10.25,42.69,-67.5,-0.49,-0.01,-0.87,-0.01,26,-220463104,-873.77,4583043,62.5,182
8130,0.0,0.0,0.0,0.0,0,,,,100.0,15,14.91,104.09,0,,Force Sensor 3,0,0,358.56,-65.25,-177.31,1.5,-623.56,1.5,11.38,0.07,11.22,10.25,42.69,-67.5,-0.54,-0.01,-0.84,-0.01,26,-214663168,-928.41,4583053,62.5,199
8142,0.0,-11.66,0.0,0.0,0,,,,100.0,15,15.16,104.09,0,,Force Sensor 3,0,0,358.75,-71.25,-176.5,1.81,-621.94,0.0,11.42,0.12,9.75,-29.19,46.25,-61.5,-0.58,-0.01,-0.81,-0.01,26,-215416832,-967.76,4583066,76.92307692307692,211
8158,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.03,109.21,0,,Force Sensor 3,0,0,358.94,-77.44,-174.75,1.56,-644.37,2.0,16.33,0.14,6.58,-29.19,46.25,-61.5,-0.67,-0.01,-0.74,-0.01,26,-222494720,-1038.58,4583079,62.5,227
8174,0.0,0.0,0.0,0.0,0,,,,100.0,15,14.77,101.56,0,,Force Sensor 3,0,0,359.25,-88.81,-1.12,1.94,-639.06,0.75,15.71,0.14,4.93,-29.19,46.25,-61.5,-0.74,-0.01,-0.67,-0.0,26,-213975040,-1076.29,4583094,83.33333333333333,243
8186,0.0,-0.0,0.0,0.0,0,,,,100.0,15,15.15,104.09,0,,Force Sensor 3,0,0,359.37,-83.75,-1.12,1.56,-623.81,1.81,16.49,0.09,3.85,-29.19,46.25,-61.5,-0.74,-0.01,-0.67,-0.0,26,-216006656,-1137.15,4583105,58.82352941176471,255
8203,0.0,-1.46,0.0,0.0,0,,,,100.0,15,15.41,96.98,0,,Force Sensor 3,0,0,359.5,-77.94,-5.5,2.12,-605.5,-0.19,16.46,-0.05,1.31,-58.0,48.06,-37.75,-0.81,-0.01,-0.59,-0.0,26,-212566016,-1168.77,4583118,58.82352941176471,272
8219,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.38,96.88,0,,Force Sensor 3,0,0,359.56,-72.25,-3.81,1.87,-600.12,0.94,18.69,0.12,-0.96,-58.0,48.06,-37.75,-0.84,-0.01,-0.55,-0.0,26,-217546752,-1216.15,4583131,66.66666666666667,288
8234,0.0,-0.0,0.0,0.0,0,,,,100.0,15,15.39,94.26,0,,Force Sensor 3,0,0,359.75,-60.75,-2.44,1.81,-588.44,0.13,16.71,0.09,-5.1,-58.0,48.06,-37.75,-0.89,-0.01,-0.46,-0.0,26,-215220224,-1246.16,4583149,76.92307692307692,303
8248,0.0,0.0,0.0,0.0,0,,,,100.0,15,15.26,96.94,0,,Force Sensor 3,0,0,359.81,-55.19,-2.12,1.81,-586.31,0.06,16.96,0.14,-6.42,-72.56,47.06,-6.5,-0.91,-0.01,-0.42,-0.0,26,-213942272,-1300.79,4583158,58.82352941176471,317
8264,0.0,-0.0,0.0,0.0,0,,,,100.0,15,15.39,107.15,0,,Force Sensor 3,0,0,359.87,-49.5,-1.87,1.81,-586.31,0.06,14.88,0.05,-8.35,-72.56,47.06,-6.5,-0.93,-0.01,-0.37,0.0,26,-216629248,-1332.41,4583170,62.5,333
8278,0.0,0.0,0.0,0.0,0,,,,100.0,15,14.88,109.06,0,,Force Sensor 3,0,0,0.06,-37.5,-1.56,1.56,-636.87,2.0,15.68,0.11,-11.23,-72.56,47.06,-6.5,-0.95,-0.01,-0.32,0.0,26,-215318528,-1379.26,4583186,83.33333333333333,347
